id,name_personal_trainer,abonoment_type,mood,steps,calories_burned,active_minutes,visits,age,session_time,gender,fav_group_lesson,birthday
1001,Mike,Premium,Happy,12500,485.2,95,4,28,105,Male,HIIT,1998-03-14
1002,Chantal,Standard,Tired,6200,210.8,45,2,35,62,Female,Yoga,1991-07-22
1003,Mike,Premium,Energetic,15800,620.5,110,5,24,120,Male,Spinning,2002-01-09
1004,Jeffrey,Standard,Stressed,4100,155.3,30,1,42,48,Female,Pilates,1984-11-30
1005,Hanna,Premium,Happy,11200,445.0,88,4,31,97,Male,HIIT,1995-06-18
1006,Mike,Standard,Neutral,7800,295.6,60,3,27,75,Female,Yoga,1999-09-05
1007,Chantal,Premium,Sad,3500,130.2,25,1,45,40,Male,Pilates,1981-02-14
1008,Jeffrey,Standard,Happy,9400,365.1,72,3,33,85,Female,Spinning,1993-12-01
1009,Hanna,Premium,Energetic,16200,650.8,115,5,22,118,Male,HIIT,2004-04-27
1010,Mike,Standard,Tired,5100,185.4,38,2,39,55,Female,Yoga,1987-08-11
1011,Chantal,Premium,Happy,13100,510.3,98,4,26,108,Male,Spinning,2000-05-20
1012,Jeffrey,Premium,Stressed,4800,170.9,32,2,48,50,Female,Pilates,1978-10-03
1013,Hanna,Standard,Neutral,8600,330.7,65,3,30,78,Male,Yoga,1996-01-16
1014,Mike,Premium,Energetic,14700,575.2,105,5,25,112,Female,HIIT,2001-07-08
1015,Chantal,Standard,Sad,3800,140.5,28,1,50,42,Male,Pilates,1976-03-25
1016,Jeffrey,Premium,Happy,10800,420.6,82,4,29,92,Female,Spinning,1997-11-12
1017,Hanna,Standard,Tired,6800,245.3,50,2,36,65,Male,Yoga,1990-06-30
1018,Mike,Premium,Neutral,9100,350.8,70,3,32,80,Female,HIIT,1994-02-17
1019,Chantal,Premium,Energetic,15100,595.4,108,5,23,115,Male,Spinning,2003-09-04
1020,Jeffrey,Standard,Stressed,4500,160.1,35,2,41,52,Female,Pilates,1985-12-21
